Geography,Geography,Gender (3a),Age (in single,2021,2016
01,Canada, Total - Gender,Total - Age,,
01,Canada, Total - Gender,  0 to 14 years,,
01,Canada, Total - Gender,    0 to 4 years,,
01,Canada, Total - Gender,      Under 1 year,,
01,Canada, Total - Gender,1,,
01,Canada, Total - Gender,2,,
01,Canada, Total - Gender,3,,
01,Canada, Total - Gender,4,,
01,Canada, Total - Gender,    5 to 9 years,,
01,Canada, Total - Gender,5,,
01,Canada, Total - Gender,6,,
01,Canada, Total - Gender,7,,
01,Canada, Total - Gender,8,,
01,Canada, Total - Gender,9,,
01,Canada, Total - Gender,    10 to 14 years,,
01,Canada, Total - Gender,10,,
01,Canada, Total - Gender,11,,
01,Canada, Total - Gender,12,,
01,Canada, Total - Gender,13,,
01,Canada, Total - Gender,14,,
01,Canada, Total - Gender,  15 to 64 years,,
01,Canada, Total - Gender,    15 to 19 years,,
01,Canada, Total - Gender,15,,
01,Canada, Total - Gender,16,,
01,Canada, Total - Gender,17,,
01,Canada, Total - Gender,18,,
01,Canada, Total - Gender,19,,
01,Canada, Total - Gender,    20 to 24 years,,
01,Canada, Total - Gender,20,,
01,Canada, Total - Gender,21,,
01,Canada, Total - Gender,22,,
01,Canada, Total - Gender,23,,
01,Canada, Total - Gender,24,,
01,Canada, Total - Gender,    25 to 29 years,,
01,Canada, Total - Gender,25,,
01,Canada, Total - Gender,26,,
01,Canada, Total - Gender,27,,
01,Canada, Total - Gender,28,,
01,Canada, Total - Gender,29,,
01,Canada, Total - Gender,    30 to 34 years,,
01,Canada, Total - Gender,30,,
01,Canada, Total - Gender,31,,
01,Canada, Total - Gender,32,,
01,Canada, Total - Gender,33,,
01,Canada, Total - Gender,34,,
01,Canada, Total - Gender,    35 to 39 years,,
01,Canada, Total - Gender,35,,
01,Canada, Total - Gender,36,,
01,Canada, Total - Gender,37,,
01,Canada, Total - Gender,38,,
01,Canada, Total - Gender,39,,
01,Canada, Total - Gender,    40 to 44 years,,
01,Canada, Total - Gender,40,,
01,Canada, Total - Gender,41,,
01,Canada, Total - Gender,42,,
01,Canada, Total - Gender,43,,
01,Canada, Total - Gender,44,,
01,Canada, Total - Gender,    45 to 49 years,,
01,Canada, Total - Gender,45,,
01,Canada, Total - Gender,46,,
01,Canada, Total - Gender,47,,
01,Canada, Total - Gender,48,,
01,Canada, Total - Gender,49,,
01,Canada, Total - Gender,    50 to 54 years,,
01,Canada, Total - Gender,50,,
01,Canada, Total - Gender,51,,
01,Canada, Total - Gender,52,,
01,Canada, Total - Gender,53,,
01,Canada, Total - Gender,54,,
01,Canada, Total - Gender,    55 to 59 years,,
01,Canada, Total - Gender,55,,
01,Canada, Total - Gender,56,,
01,Canada, Total - Gender,57,,
01,Canada, Total - Gender,58,,
01,Canada, Total - Gender,59,,
01,Canada, Total - Gender,    60 to 64 years,,
01,Canada, Total - Gender,60,,
01,Canada, Total - Gender,61,,
01,Canada, Total - Gender,62,,
01,Canada, Total - Gender,63,,
01,Canada, Total - Gender,64,,
01,Canada, Total - Gender,  65 years and over,,
01,Canada, Total - Gender,    65 to 69 years,,
01,Canada, Total - Gender,65,,
01,Canada, Total - Gender,66,,
01,Canada, Total - Gender,67,,
01,Canada, Total - Gender,68,,
01,Canada, Total - Gender,69,,
01,Canada, Total - Gender,    70 to 74 years,,
01,Canada, Total - Gender,70,,
01,Canada, Total - Gender,71,,
01,Canada, Total - Gender,72,,
01,Canada, Total - Gender,73,,
01,Canada, Total - Gender,74,,
01,Canada, Total - Gender,    75 to 79 years,,
01,Canada, Total - Gender,75,,
01,Canada, Total - Gender,76,,
01,Canada, Total - Gender,77,,
01,Canada, Total - Gender,78,,
01,Canada, Total - Gender,79,,
01,Canada, Total - Gender,    80 to 84 years,,
01,Canada, Total - Gender,80,,
01,Canada, Total - Gender,81,,
01,Canada, Total - Gender,82,,
01,Canada, Total - Gender,83,,
01,Canada, Total - Gender,84,,
01,Canada, Total - Gender,    85 years and over,,
01,Canada, Total - Gender,      85 to 89 years,,
01,Canada, Total - Gender,85,,
01,Canada, Total - Gender,86,,
01,Canada, Total - Gender,87,,
01,Canada, Total - Gender,88,,
01,Canada, Total - Gender,89,,
01,Canada, Total - Gender,      90 to 94 years,,
01,Canada, Total - Gender,90,,
01,Canada, Total - Gender,91,,
01,Canada, Total - Gender,92,,
01,Canada, Total - Gender,93,,
01,Canada, Total - Gender,94,,
01,Canada, Total - Gender,      95 to 99 years,,
01,Canada, Total - Gender,95,,
01,Canada, Total - Gender,96,,
01,Canada, Total - Gender,97,,
01,Canada, Total - Gender,98,,
01,Canada, Total - Gender,99,,
01,Canada, Total - Gender,      100 years and over,,
01,Canada, Total - Gender,Average age,,
01,Canada, Total - Gender,Median age,,
01,Canada,  Men+,Total - Age,,
01,Canada,  Men+,  0 to 14 years,,
01,Canada,  Men+,    0 to 4 years,,
01,Canada,  Men+,      Under 1 year,,
01,Canada,  Men+,1,,
01,Canada,  Men+,2,,
01,Canada,  Men+,3,,
01,Canada,  Men+,4,,
01,Canada,  Men+,    5 to 9 years,,
01,Canada,  Men+,5,,
01,Canada,  Men+,6,,
01,Canada,  Men+,7,,
01,Canada,  Men+,8,,
01,Canada,  Men+,9,,
01,Canada,  Men+,    10 to 14 years,,
01,Canada,  Men+,10,,
01,Canada,  Men+,11,,
01,Canada,  Men+,12,,
01,Canada,  Men+,13,,
01,Canada,  Men+,14,,
01,Canada,  Men+,  15 to 64 years,,
01,Canada,  Men+,    15 to 19 years,,
01,Canada,  Men+,15,,
01,Canada,  Men+,16,,
01,Canada,  Men+,17,,
01,Canada,  Men+,18,,
01,Canada,  Men+,19,,
01,Canada,  Men+,    20 to 24 years,,
01,Canada,  Men+,20,,
01,Canada,  Men+,21,,
01,Canada,  Men+,22,,
01,Canada,  Men+,23,,
01,Canada,  Men+,24,,
01,Canada,  Men+,    25 to 29 years,,
01,Canada,  Men+,25,,
01,Canada,  Men+,26,,
01,Canada,  Men+,27,,
01,Canada,  Men+,28,,
01,Canada,  Men+,29,,
01,Canada,  Men+,    30 to 34 years,,
01,Canada,  Men+,30,,
01,Canada,  Men+,31,,
01,Canada,  Men+,32,,
01,Canada,  Men+,33,,
01,Canada,  Men+,34,,
01,Canada,  Men+,    35 to 39 years,,
01,Canada,  Men+,35,,
01,Canada,  Men+,36,,
01,Canada,  Men+,37,,
01,Canada,  Men+,38,,
01,Canada,  Men+,39,,
01,Canada,  Men+,    40 to 44 years,,
01,Canada,  Men+,40,,
01,Canada,  Men+,41,,
01,Canada,  Men+,42,,
01,Canada,  Men+,43,,
