Geography,Geography,Gender (3),Age (20),Total - Type of collective dwelling,  Health care and related facilities,    Hospitals,    Nursing homes,    Residences for senior citizens,    Facilities that are a mix of both a nursing home and a residence for senior citizens,    Residential care facilities such as group homes for persons with disabilities and addictions,  Correctional and custodial facilities,  Shelters,  Service collective dwellings,    Lodging and rooming houses,"    Hotels, motels and other establishments with temporary accommodation services",    Other service collective dwellings,  Religious establishments,  Hutterite colonies,  Other collective dwellings
1,Canada,Total - Gender,Total - Age,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  0 to 14 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  15 to 19 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,    15 to 17 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,    18 to 19 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  20 to 24 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  25 to 29 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  30 to 34 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  35 to 39 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  40 to 44 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  45 to 49 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  50 to 54 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  55 to 59 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  60 to 64 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,  65 years and over,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,    65 to 69 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,    70 to 74 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,    75 to 79 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,    80 to 84 years,,,,,,,,,,,,,,,,
1,Canada,Total - Gender,    85 years and over,,,,,,,,,,,,,,,,
1,Canada,  Men+,Total - Age,,,,,,,,,,,,,,,,
1,Canada,  Men+,  0 to 14 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  15 to 19 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,    15 to 17 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,    18 to 19 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  20 to 24 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  25 to 29 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  30 to 34 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  35 to 39 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  40 to 44 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  45 to 49 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  50 to 54 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  55 to 59 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  60 to 64 years,,,,,,,,,,,,,,,,
1,Canada,  Men+,  65 years and over,,,,,,,,,,,,,,,,
